CPU Name ,"CPU Mark
","Rank
"
ARM Neoverse-N1 32 Core 1700 MHz,"11,841",1296
Intel Xeon E5-2648L v4 @ 1.80GHz,"11,839",1297
AMD Ryzen 5 PRO 1600,"11,833",1298
Microsoft SQ3 @ 3.0 GHz,"11,828",1299
Intel Core i7-8700B @ 3.20GHz,"11,802",1300
Intel Xeon E5-2663 v3 @ 2.80GHz,"11,777",1301
ARM Neoverse-N1 80 Core 2800 MHz,"11,755",1302
Virtual @ 3.24GHz,"11,739",1303
Intel Xeon D-2146NT @ 2.30GHz,"11,736",1304
Intel Core i7-11375H @ 3.30GHz,"11,730",1305
Intel Xeon E5-2650 v3 @ 2.30GHz,"11,701",1306
Intel Xeon E-2276M @ 2.80GHz,"11,689",1307
Intel Xeon Platinum 8481C @ 2.70GHz,"11,681",1308
Intel Core i3-11100HE @ 2.40GHz,"11,673",1309
Intel Xeon D-1577 @ 1.30GHz,"11,645",1310
Intel Core i7-10850H @ 2.70GHz,"11,633",1311
Intel Xeon E5-4657L v2 @ 2.40GHz,"11,613",1312
Intel Core i7-10750H @ 2.60GHz,"11,609",1313
Intel Core i7-11370H @ 3.30GHz,"11,594",1314
Intel Core i5-1345URE,"11,565",1315
AMD Ryzen 3 3100,"11,552",1316
Intel Xeon E5-4669 v4 @ 2.20GHz,"11,523",1317
ARM Neoverse-V1 16 Core 0 MHz,"11,519",1318
Intel Xeon E5-4628L v4 @ 1.80GHz,"11,503",1319
Intel Xeon E5-2630 v4 @ 2.20GHz,"11,493",1320
Hygon C86 3250 8-core,"11,476",1321
AMD Ryzen 5 5500H,"11,471",1322
ARM Neoverse-N1 16 Core 0 MHz,"11,459",1323
Intel Core i3-1315U,"11,452",1324
StratoVirt,"11,440",1325
Intel Core i7-6850K @ 3.60GHz,"11,434",1326
QTI SM8650,"11,418",1327
Intel Core i5-10600T @ 2.40GHz,"11,409",1328
Intel Xeon E-2186M @ 2.90GHz,"11,391",1329
Intel Xeon E5-1650 v4 @ 3.60GHz,"11,380",1330
AMD Ryzen 3 PRO 5475U,"11,375",1331
Intel Xeon E5-2670 v2 @ 2.50GHz,"11,367",1332
Intel Core i3-11100B @ 3.60GHz,"11,357",1333
Intel Xeon E5-4627 v3 @ 2.60GHz,"11,344",1334
Intel Core i7-1250U,"11,323",1335
Intel Xeon E5-2618L v3 @ 2.30GHz,"11,310",1336
Hygon C86-3G (OPN:3350),"11,305",1337
Intel Xeon Bronze 3508U,"11,248",1338
AMD Ryzen 3 4300GE,"11,229",1339
Intel Core i5-10500E @ 3.10GHz,"11,212",1340
AMD Ryzen 3 5425U,"11,195",1341
Intel Xeon 6315P,"11,179",1342
AMD EPYC 7261,"11,149",1343
Intel Xeon E-2226G @ 3.40GHz,"11,149",1344
QTI SM8735,"11,144",1345
Intel Xeon Silver 4208 @ 2.10GHz,"11,095",1346
Apple A12X Bionic,"11,083",1347
Intel Xeon Silver 4209T @ 2.20GHz,"11,080",1348
Intel Xeon E5-2628L v4 @ 1.90GHz,"11,079",1349
Virtual @ 2.95GHz,"11,062",1350
Intel Xeon E5-2643 v4 @ 3.40GHz,"11,060",1351
Intel Core i5-10500H @ 2.50GHz,"11,059",1352
AMD Ryzen 3 4100,"11,053",1353
Intel Core 7 160UL,"11,043",1354
Intel Xeon E5-2640 v3 @ 2.60GHz,"11,042",1355
AMD Ryzen 3 PRO 5450U,"11,032",1356
AMD Ryzen 3 5400U,"11,007",1357
Apple A16 Bionic,"10,986",1358
AMD Ryzen 3 PRO 4200GE,"10,930",1359
Samsung s5e9945,"10,929",1360
AMD Ryzen 3 PRO 4350G,"10,927",1361
Intel Core i7-9850H @ 2.60GHz,"10,927",1362
AMD Ryzen 3 PRO 4350GE,"10,926",1363
Intel Xeon E5-4655 v4 @ 2.50GHz,"10,912",1364
Intel Xeon E5-4650 v2 @ 2.40GHz,"10,907",1365
Intel Core 3 N355,"10,896",1366
Mediatek MT6989,"10,893",1367
Intel Core i5-11320H @ 3.20GHz,"10,891",1368
Intel Core i5-1230U,"10,881",1369
Intel Core i5-1335UE,"10,863",1370
Intel Xeon E-2176M @ 2.70GHz,"10,862",1371
Intel Xeon E5-4650 v3 @ 2.10GHz,"10,838",1372
AMD Ryzen 3 PRO 4200G,"10,831",1373
Intel Core i5-11300H @ 3.10GHz,"10,824",1374
Snapdragon 8cx Gen 3 @ 2.69 GHz,"10,799",1375
AMD Ryzen 5 4500U,"10,765",1376
Intel Core i7-6800K @ 3.40GHz,"10,726",1377
AMD Ryzen 3 7330U,"10,718",1378
Intel Xeon E5-2470 v2 @ 2.40GHz,"10,664",1379
Intel Core i7-9750H @ 2.60GHz,"10,664",1380
Intel Core i5-9600KF @ 3.70GHz,"10,662",1381
Intel Core i5-9600K @ 3.70GHz,"10,639",1382
Intel Core i7-1365URE,"10,636",1383
Intel Core i3-13100TE,"10,612",1384
Intel Core i7-9700T @ 2.00GHz,"10,590",1385
AMD Ryzen 3 PRO 4355GE,"10,559",1386
Intel Core i5-1345UE,"10,550",1387
Intel Core i7-1195G7 @ 2.90GHz,"10,546",1388
Intel Xeon E5-2658 v2 @ 2.40GHz,"10,528",1389
Intel Xeon E5-4620 v3 @ 2.00GHz,"10,525",1390
Intel Core i7-9750HF @ 2.60GHz,"10,490",1391
QTI QCS8550,"10,487",1392
Intel Xeon W-2225 @ 4.10GHz,"10,465",1393
Intel Xeon E5-2643 v3 @ 3.40GHz,"10,448",1394
Intel Core i3-1215U,"10,447",1395
Intel Xeon D-1567 @ 2.10GHz,"10,447",1396
Intel Core i7-9850HE @ 2.70GHz,"10,411",1397
Intel Xeon E5-1650 v3 @ 3.50GHz,"10,393",1398
Intel Xeon E5-2660 v2 @ 2.20GHz,"10,380",1399
Intel Core i9-8950HK @ 2.90GHz,"10,379",1400
Intel Xeon E5-4640 v3 @ 1.90GHz,"10,372",1401
Intel Xeon E-2126G @ 3.30GHz,"10,370",1402
Intel Core i7-5930K @ 3.50GHz,"10,352",1403
Intel Xeon Silver 4109T @ 2.00GHz,"10,348",1404
Intel Xeon E5-1660 v2 @ 3.70GHz,"10,319",1405
Intel Core i5-9600 @ 3.10GHz,"10,311",1406
Intel Xeon Silver 4110 @ 2.10GHz,"10,299",1407
Intel Xeon E5-2630 v3 @ 2.40GHz,"10,296",1408
Intel Core i3-10325 @ 3.90GHz,"10,291",1409
Intel Core i3-1210U,"10,228",1410
Intel Xeon E-2324G @ 3.10GHz,"10,198",1411
Intel Core i7-8700T @ 2.40GHz,"10,177",1412
Intel Core i7-8850H @ 2.60GHz,"10,132",1413
Intel Core i5-8600K @ 3.60GHz,"10,129",1414
ARM Apple M1 (Virtual) 4 Core 0 MHz,"10,123",1415
Intel Core i5-10500T @ 2.30GHz,"10,119",1416
Intel Core i7-1185G7 @ 3.00GHz,"10,107",1417
Intel Xeon D-1540 @ 2.00GHz,"10,037",1418
QTI SG8275,"10,036",1419
Intel Xeon D-1541 @ 2.10GHz,"10,024",1420
Intel Xeon W-2125 @ 4.00GHz,"10,023",1421
Intel Core i7-1365UE,"10,019",1422
Intel Xeon E5-2687W @ 3.10GHz,"10,018",1423
Intel Core i3-10320 @ 3.80GHz,"9,982",1424
Intel Xeon Bronze 3408U,"9,969",1425
Intel Core i5-9500F @ 3.00GHz,"9,968",1426
Intel Xeon E5-2630L v4 @ 1.80GHz,"9,966",1427
Intel Core i5-8600 @ 3.10GHz,"9,957",1428
Intel Core i7-4960X @ 3.60GHz,"9,955",1429
Intel Xeon E5-2628L v3 @ 2.00GHz,"9,949",1430
Intel Core i7-1165G7 @ 2.80GHz,"9,948",1431
Intel Core i7-1185G7E @ 2.80GHz,"9,926",1432
Apple A15 Bionic,"9,890",1433
Apple A16,"9,887",1434
AMD Ryzen 3 4300G,"9,878",1435
ARM Firestorm-M1-Pro 8 Core 2064 MHz,"9,872",1436
virt-9.1,"9,863",1437
Intel Xeon E5-2648L v3 @ 1.80GHz,"9,847",1438
ARM Kunpeng-920 24 Core 2600 MHz,"9,841",1439
Intel Core i5-9500 @ 3.00GHz,"9,829",1440
Intel Core i7-11390H @ 3.40GHz,"9,819",1441
Intel Core i7-5820K @ 3.30GHz,"9,817",1442
Intel Core i7-9700TE @ 1.80GHz,"9,813",1443
Intel Xeon E5-2650 v2 @ 2.60GHz,"9,811",1444
Intel Core i7-8750H @ 2.20GHz,"9,794",1445
Intel Core i5-9500TE @ 2.20GHz,"9,789",1446
ARM - 10 Core 2000 MHz,"9,787",1447
Intel Xeon E5-2690 @ 2.90GHz,"9,782",1448
Intel Xeon E-2274G @ 4.00GHz,"9,764",1449
Intel Core i5-10400T @ 2.00GHz,"9,714",1450
Intel Core i5-1155G7 @ 2.50GHz,"9,702",1451
AMD Ryzen 3 PRO 4450U,"9,683",1452
Intel Xeon D-1718T @ 2.60GHz,"9,674",1453
Intel Xeon E-2244G @ 3.80GHz,"9,666",1454
Intel Core i3-N305,"9,659",1455
Intel Core i7-7740X @ 4.30GHz,"9,658",1456
AMD Ryzen Embedded V2546,"9,656",1457
AMD Ryzen 5 PRO 3350GE,"9,643",1458
Intel Core i5-9600T @ 2.30GHz,"9,627",1459
Intel Xeon E-2174G @ 3.80GHz,"9,622",1460
Intel Core i7-7700K @ 4.20GHz,"9,621",1461
ARM FT-2000+/64 64 Core 0 MHz,"9,605",1462
AMD Ryzen 3 5300U,"9,555",1463
Intel Xeon E5-2651 v2 @ 1.80GHz,"9,551",1464
Intel Core i5-8500 @ 3.00GHz,"9,529",1465
Intel Core i5-1135G7 @ 2.40GHz,"9,503",1466
"ARM HUAWEI,Kunpeng 920 24 Core 2600 MHz","9,496",1467
Intel Xeon E5-2689 @ 2.60GHz,"9,489",1468
Intel Xeon Gold 5222 @ 3.80GHz,"9,483",1469
Intel Xeon E3-1285 v6 @ 4.10GHz,"9,478",1470
Intel Xeon E-2234 @ 3.60GHz,"9,473",1471
Intel Core i5-1245UE,"9,473",1472
AMD Ryzen 5 2500X,"9,455",1473
Intel Core i5-9400F @ 2.90GHz,"9,455",1474
Intel Xeon E5-4627 v2 @ 3.30GHz,"9,425",1475
Intel Xeon E5-4620 v2 @ 2.60GHz,"9,424",1476
Intel Core i5-1145G7 @ 2.60GHz,"9,401",1477
AMD Custom APU 0932,"9,395",1478
Intel Xeon E-2144G @ 3.60GHz,"9,392",1479
Intel Core i7-4930K @ 3.40GHz,"9,385",1480
Intel Core i5-9400 @ 2.90GHz,"9,380",1481
Intel Xeon E5-4655 v3 @ 2.90GHz,"9,377",1482
Apple A12Z Bionic,"9,365",1483
Snapdragon 8 Gen2 Mobile Platform for Galaxy,"9,362",1484
Intel Core i3-10305 @ 3.80GHz,"9,357",1485
Intel Xeon E5-2680 @ 2.70GHz,"9,349",1486
Intel Core i3-1125G4 @ 2.00GHz,"9,344",1487
Intel Xeon E-2134 @ 3.50GHz,"9,338",1488
Intel Xeon E5-1650 v2 @ 3.50GHz,"9,330",1489
Intel Xeon E5-2620 v4 @ 2.10GHz,"9,295",1490
Intel Core i3-10300 @ 3.70GHz,"9,292",1491
Intel Core i7-10710U @ 1.10GHz,"9,289",1492
Intel Xeon D-1557 @ 1.50GHz,"9,285",1493
CIX P1 CD8180,"9,277",1494
AMD Ryzen 5 3350GE,"9,276",1495
Hygon C86 3185 8-core,"9,243",1496
Intel Xeon E5-2643 v2 @ 3.50GHz,"9,243",1497
Intel Core i5-8600T @ 2.30GHz,"9,239",1498
Intel Core i5-8400 @ 2.80GHz,"9,225",1499
AMD Ryzen 5 3400G,"9,217",1500
Intel Xeon E3-1275 v6 @ 3.80GHz,"9,217",1501
Intel Core i7-1068NG7 @ 2.30GHz,"9,204",1502
Intel Pentium Gold 8505,"9,198",1503
Intel Core i5-10500TE @ 2.30GHz,"9,195",1504
AMD Ryzen 5 PRO 3350G,"9,155",1505
Intel Xeon E5-2629 v3 @ 2.40GHz,"9,139",1506
AMD Ryzen 5 PRO 1500,"9,137",1507
Mediatek MT6983W/CZA,"9,136",1508
Mediatek MT8798Z/CNZA,"9,110",1509
Intel Xeon D-1715TER @ 2.40GHz,"9,104",1510
Intel Xeon Silver 4108 @ 1.80GHz,"9,103",1511
AMD Ryzen 5 7520U,"9,096",1512
Intel Xeon E3-1280 v6 @ 3.90GHz,"9,093",1513
Intel Xeon E-2226GE @ 3.40GHz,"9,090",1514
AMD Ryzen 5 PRO 3400G,"9,078",1515
Intel Core i7-1265UE,"9,077",1516
Intel Xeon D-1548 @ 2.00GHz,"9,075",1517
QTI SM8550,"9,069",1518
AMD Ryzen 5 1500X,"9,068",1519
Intel Xeon E5-4648 v3 @ 1.70GHz,"9,061",1520
ARM Neoverse-N1 12 Core 0 MHz,"8,994",1521
Intel Core i7-1160G7 @ 1.20GHz,"8,991",1522
Intel Xeon E5-2450 v2 @ 2.50GHz,"8,967",1523
Intel i7-1165G7,"8,956",1524
AMD Ryzen 5 3350G,"8,933",1525
Intel Core i3-10105F @ 3.70GHz,"8,932",1526
Intel Xeon E5-2670 @ 2.60GHz,"8,930",1527
Intel Core i7-6700K @ 4.00GHz,"8,925",1528
Intel Xeon Gold 5122 @ 3.60GHz,"8,883",1529
Intel Core i5-3170K @ 3.20GHz,"8,882",1530
Intel Core i5-8500B @ 3.00GHz,"8,876",1531
ARM Kunpeng-920 24 Core 0 MHz,"8,870",1532
Intel Xeon E3-1270 v6 @ 3.80GHz,"8,868",1533
Intel Core i5-1038NG7 @ 2.00GHz,"8,857",1534
Intel Core i3-1315UE,"8,849",1535
AMD Ryzen 5 3400GE,"8,848",1536
Intel Core i5-9500E @ 3.00GHz,"8,829",1537
Intel Xeon E5-2648L v2 @ 1.90GHz,"8,828",1538
Intel Xeon E3-1245 v6 @ 3.70GHz,"8,779",1539
Mediatek Dimensity 8400-Turbo (MT6899),"8,737",1540
AMD Ryzen 5 2400G,"8,735",1541
Intel Core i3-1305U,"8,733",1542
Intel Core i3-10100F @ 3.60GHz,"8,713",1543
Intel Xeon E3-1240 v6 @ 3.70GHz,"8,700",1544
ARM - 32 Core 3300 MHz,"8,684",1545
ARM X-Gene 32 Core 3300 MHz,"8,684",1546
AMD EPYC 3201,"8,672",1547
Intel Core i5-1145G7E @ 2.60GHz,"8,672",1548
Intel Core i5-1140G7 @ 1.10GHz,"8,664",1549
Intel Xeon E5-2630L v3 @ 1.80GHz,"8,661",1550
QTI SM7675,"8,658",1551
AMD Ryzen 5 7520C,"8,654",1552
AMD Ryzen 3 7320U,"8,654",1553
Intel Core i7-7700 @ 3.60GHz,"8,633",1554
Intel Atom C5125,"8,631",1555
ARM - 8 Core 2424 MHz,"8,610",1556
Intel Core i7-3970X @ 3.50GHz,"8,588",1557
Intel Xeon W-2223 @ 3.60GHz,"8,569",1558
Apple A14 Bionic,"8,554",1559
AMD Ryzen 5 PRO 2400G,"8,549",1560
Intel Core i3-10100 @ 3.60GHz,"8,547",1561
Intel Xeon E5-4650L @ 2.60GHz,"8,533",1562
Intel Xeon W-2123 @ 3.60GHz,"8,523",1563
Intel Core i7-8809G @ 3.10GHz,"8,516",1564
ARM - 8 Core 0 MHz,"8,515",1565
ARM - 6 Core 0 MHz,"8,515",1566
Intel Xeon W-11155MLE @ 1.80GHz,"8,502",1567
AMD Ryzen Embedded R2544,"8,486",1568
Intel Xeon E5-4650 @ 2.70GHz,"8,480",1569
Intel Xeon E5-2628 v3 @ 2.50GHz,"8,447",1570
Intel Core i7-3960X @ 3.30GHz,"8,434",1571
Mediatek MT8195,"8,419",1572
Intel U300,"8,411",1573
Intel Xeon E3-1585 v5 @ 3.50GHz,"8,408",1574
Intel Core i3-N300,"8,386",1575
AMD EPYC 8324PN 32-Core,"8,375",1576
Intel Core i5-1145GRE @ 2.60GHz,"8,373",1577
Intel Xeon E5-1660 @ 3.30GHz,"8,345",1578
Intel Core i3-1215UE,"8,331",1579
Intel Core i5-1130G7 @ 1.10GHz,"8,316",1580
Intel Xeon E3-1270 v5 @ 3.60GHz,"8,310",1581
AMD EPYC 3151,"8,306",1582
Intel Xeon E5-2470 @ 2.30GHz,"8,300",1583
AMD Opteron 6386 SE,"8,291",1584
Intel Core i5-10400H @ 2.60GHz,"8,284",1585
Intel Xeon E5-2665 @ 2.40GHz,"8,271",1586
Intel Xeon E3-1240 v5 @ 3.50GHz,"8,267",1587
AMD Ryzen 3 7320C,"8,265",1588
Intel Xeon E3-1275 v5 @ 3.60GHz,"8,264",1589
AMD Athlon Gold PRO 4150GE,"8,259",1590
Intel Core i5-10300H @ 2.50GHz,"8,259",1591
Intel Xeon E3-1280 v5 @ 3.70GHz,"8,254",1592
Intel Core i7-8559U @ 2.70GHz,"8,242",1593
Intel Core i3-10105 @ 3.70GHz,"8,239",1594
Intel Xeon E3-1260L v5 @ 2.90GHz,"8,237",1595
Intel Core i5-9400T @ 1.80GHz,"8,228",1596
Google Tensor G4,"8,219",1597
QTI SM8635,"8,213",1598
Intel Core i7-3930K @ 3.20GHz,"8,204",1599
ARM X-Gene 32 Core 3000 MHz,"8,202",1600
AMD Ryzen Embedded V1807B,"8,185",1601
Intel Core i7-1065G7 @ 1.30GHz,"8,183",1602
Intel Xeon E-2276ME @ 2.80GHz,"8,167",1603
Intel Core i7-8569U @ 2.80GHz,"8,150",1604
AMD Ryzen 7 2800H,"8,144",1605
Intel Xeon E3-1230 v6 @ 3.50GHz,"8,143",1606
Intel U300E,"8,142",1607
Intel Core i3-10305T @ 3.00GHz,"8,136",1608
ARM - 32 Core 2911 MHz,"8,132",1609
Intel Core i5-9500T @ 2.20GHz,"8,097",1610
Intel Xeon E3-1285L v4 @ 3.40GHz,"8,092",1611
Intel Xeon E3-1535M v6 @ 3.10GHz,"8,083",1612
Intel Xeon E5-2660 @ 2.20GHz,"8,077",1613
Intel Xeon E5-1650 @ 3.20GHz,"8,075",1614
Google Tensor G3,"8,066",1615
Mediatek MT8792,"8,064",1616
Intel Core i7-4790K @ 4.00GHz,"8,063",1617
AMD Ryzen Embedded V1756B,"8,060",1618
Intel Core i5-1035G7 @ 1.20GHz,"8,053",1619
Intel Core i7-6700 @ 3.40GHz,"8,050",1620
Intel Xeon Platinum 8581C @ 2.30GHz,"8,040",1621
AMD Ryzen 7 3750H,"8,032",1622
Intel Xeon E3-1245 v5 @ 3.50GHz,"8,031",1623
Intel Core i7-10810U @ 1.10GHz,"8,022",1624
Intel Core i5-10200H @ 2.40GHz,"8,018",1625
Mediatek Dimensity 9200 (MT6985),"8,018",1626
ARM Avalanche-M2 4 Core 2424 MHz,"8,017",1627
Intel Xeon D-1559 @ 1.50GHz,"8,015",1628
CentaurHauls @2500MHz,"8,014",1629
ARM FTC662 64 Core 0 MHz,"8,008",1630
Intel Xeon E3-1230 v5 @ 3.40GHz,"8,007",1631
AMD Ryzen 5 2600H,"8,002",1632
Intel Xeon D-2712T @ 1.90GHz,"7,990",1633
Intel Xeon E3-1585L v5 @ 3.00GHz,"7,959",1634
Intel Core i3-10100E @ 3.20GHz,"7,944",1635
Intel Core i7-8709G @ 3.10GHz,"7,934",1636
Intel Core i7-9850HL @ 1.90GHz,"7,897",1637
Intel Xeon E3-1286 v3 @ 3.70GHz,"7,879",1638
Intel Core i7-995X @ 3.60GHz,"7,862",1639
AMD Opteron 6348,"7,850",1640
Intel Core i3-10105T @ 3.00GHz,"7,849",1641
Intel Core i3-10300T @ 3.00GHz,"7,845",1642
Intel Core i5-8259U @ 2.30GHz,"7,844",1643
Intel Core i7-1185GRE @ 2.80GHz,"7,827",1644
Intel Xeon E3-1575M v5 @ 3.00GHz,"7,818",1645
Intel Core i3-1215UL,"7,817",1646
Intel Core i5-9400H @ 2.50GHz,"7,814",1647
ARM Firestorm 4 Core 2064 MHz,"7,804",1648
Intel Core i5-1035G4 @ 1.10GHz,"7,784",1649
CentaurHauls @2400MHz,"7,784",1650
AMD Ryzen Embedded V1807F,"7,775",1651
Intel Xeon E5-2620 v3 @ 2.40GHz,"7,772",1652
ARM Firestorm-M1 4 Core 2064 MHz,"7,771",1653
AMD Ryzen 5 PRO 2400GE,"7,769",1654
Intel Core i7-1180G7 @ 1.30GHz,"7,762",1655
Samsung s5e8855,"7,755",1656
Intel Xeon E-2314 @ 2.80GHz,"7,750",1657
Intel Xeon D-1813NT @ 2.20GHz,"7,732",1658
AMD Ryzen 5 1400,"7,729",1659
Mediatek MT6983Z/CZA,"7,726",1660
AMD Ryzen 5 3550H,"7,723",1661
Intel Xeon E3-1285 v4 @ 3.50GHz,"7,716",1662
Intel Core i5-8500T @ 2.10GHz,"7,716",1663
Intel Core i7-5775C @ 3.30GHz,"7,716",1664
Intel Core i7-5950HQ @ 2.90GHz,"7,700",1665
Intel Xeon E3-1545M v5 @ 2.90GHz,"7,692",1666
Intel U300L,"7,692",1667
AMD Ryzen 5 3550U,"7,681",1668
Intel Core i3-9350K @ 4.00GHz,"7,662",1669
Intel Xeon E3-1270L v4 @ 3.00GHz,"7,662",1670
Intel Xeon E5-2640 v2 @ 2.00GHz,"7,625",1671
Intel Core i7-8705G @ 3.10GHz,"7,618",1672
MediaTek MT6895,"7,615",1673
Intel Core i7-8706G @ 3.10GHz,"7,615",1674
AMD Ryzen 5 PRO 3400GE,"7,612",1675
Intel Xeon D-1531 @ 2.20GHz,"7,592",1676
Intel Xeon E5-2650L v2 @ 1.70GHz,"7,586",1677
Intel Core i7-5775R @ 3.30GHz,"7,580",1678
Intel Core i7-7700T @ 2.90GHz,"7,577",1679
Intel Xeon D-1539 @ 1.60GHz,"7,572",1680
Intel Core i3-9350KF @ 4.00GHz,"7,564",1681
Intel Xeon E-2224G @ 3.50GHz,"7,559",1682
Intel Xeon E5-1630 v4 @ 3.70GHz,"7,556",1683
Mediatek MT6895Z_A/TCZA,"7,554",1684
AMD Ryzen 3 2300X,"7,548",1685
Intel Core i5-8400H @ 2.50GHz,"7,548",1686
Intel Xeon E3-1281 v3 @ 3.70GHz,"7,546",1687
Intel Xeon E3-1276 v3 @ 3.60GHz,"7,543",1688
Intel Core i7-7820EQ @ 3.00GHz,"7,542",1689
Intel Xeon E5-2450 @ 2.10GHz,"7,534",1690
Intel Xeon E3-1271 v3 @ 3.60GHz,"7,512",1691
Intel Core i5-8279U @ 2.40GHz,"7,501",1692
Intel Xeon E5-2637 v4 @ 3.50GHz,"7,500",1693
Intel Xeon E3-1535M v5 @ 2.90GHz,"7,487",1694
Intel Xeon E5-2440 v2 @ 1.90GHz,"7,473",1695
Intel Xeon E5-2630 v2 @ 2.60GHz,"7,468",1696
AMD Athlon Gold PRO 3150G,"7,468",1697
Intel Core i5-9300H @ 2.40GHz,"7,458",1698
Intel Core 3 N350,"7,455",1699
Intel Xeon E5-2608L v4 @ 1.60GHz,"7,447",1700
Intel Xeon D-1537 @ 1.70GHz,"7,444",1701
Intel Xeon E5-2667 @ 2.90GHz,"7,442",1702
Intel Core i5-8257U @ 1.40GHz,"7,430",1703
Mediatek Dimensity 8200-Ultimate (MT6896),"7,418",1704
Intel Core i7-7820HK @ 2.90GHz,"7,412",1705
Intel Xeon E5-1630 v3 @ 3.70GHz,"7,411",1706
Intel Xeon E3-1505M v6 @ 3.00GHz,"7,409",1707
Intel Core i5-8400T @ 1.70GHz,"7,407",1708
ARM Neoverse-N1 10 Core 0 MHz,"7,390",1709
Intel Core i5-8300H @ 2.30GHz,"7,383",1710
AMD Ryzen 3 4300U,"7,380",1711
Intel Atom P5322,"7,378",1712
Intel Xeon E5-1620 v4 @ 3.50GHz,"7,369",1713
Intel Xeon @ 2.00GHz,"7,363",1714
Intel Core i3-9320 @ 3.70GHz,"7,358",1715
Mediatek Dimensity 8350 (MT6897),"7,350",1716
Intel Xeon E5-2650 @ 2.00GHz,"7,349",1717
QTI SM8475,"7,328",1718
Intel Xeon E3-1565L v5 @ 2.50GHz,"7,325",1719
Intel Core i5-8260U @ 1.60GHz,"7,316",1720
Intel Core i7-8557U @ 1.70GHz,"7,309",1721
Intel Core i5-9300HF @ 2.40GHz,"7,306",1722
Intel Xeon Phi 7210 @ 1.30GHz,"7,306",1723
Intel Core i3-10100T @ 3.00GHz,"7,305",1724
Intel Core i7-7920HQ @ 3.10GHz,"7,304",1725
Intel Xeon E-2124G @ 3.40GHz,"7,303",1726
AMD Ryzen 7 PRO 3700U,"7,290",1727
AMD Opteron 6281,"7,279",1728
Intel Xeon E-2224 @ 3.40GHz,"7,274",1729
AMD Ryzen 3 3200GE,"7,270",1730
Intel Xeon E3-1246 v3 @ 3.50GHz,"7,269",1731
Intel Core i7-4790 @ 3.60GHz,"7,264",1732
Mediatek MT8797Z/CNZA,"7,264",1733
Intel 300,"7,260",1734
Intel Xeon E5-2637 v3 @ 3.50GHz,"7,257",1735
Intel Xeon E3-1270 v3 @ 3.50GHz,"7,254",1736
Intel Xeon E3-1280 v3 @ 3.60GHz,"7,252",1737
Intel Core i7-6920HQ @ 2.90GHz,"7,248",1738
QTI SM7475,"7,247",1739
AMD Ryzen 5 Microsoft Surface Edition,"7,243",1740
Intel Xeon E5-4610 v3 @ 1.70GHz,"7,229",1741
Google GS201,"7,223",1742
Intel Core i5-1035G1 @ 1.00GHz,"7,211",1743
Intel Xeon E3-1285 v3 @ 3.60GHz,"7,211",1744
Intel Xeon E3-1275 v3 @ 3.50GHz,"7,206",1745
Intel Xeon W3690 @ 3.47GHz,"7,194",1746
Intel Core i3-9300 @ 3.70GHz,"7,193",1747
AMD Ryzen 5 2400GE,"7,191",1748
AMD Ryzen 3 PRO 1300,"7,187",1749
Intel Xeon E5-2628L v2 @ 1.90GHz,"7,181",1750
Intel Xeon E5-2430 v2 @ 2.50GHz,"7,179",1751
Intel Core i7-7820HQ @ 2.90GHz,"7,177",1752
Mediatek MT6891Z_T/CZA,"7,171",1753
Intel Xeon E3-1241 v3 @ 3.50GHz,"7,154",1754
Intel Core i7-4771 @ 3.50GHz,"7,142",1755
vendor Kirin9000E,"7,141",1756
Intel Core i7-4770K @ 3.50GHz,"7,133",1757
Intel Core i7-990X @ 3.47GHz,"7,116",1758
Intel Core i5-8269U @ 2.60GHz,"7,111",1759
AMD Ryzen 5 3580U,"7,099",1760
ZHAOXIN KaiXian KX-7000,"7,096",1761
Intel Xeon X5679 @ 3.20GHz,"7,095",1762
Intel Core i7-6770HQ @ 2.60GHz,"7,091",1763
AMD Ryzen 7 3700U,"7,066",1764
Intel Core i5-7640X @ 4.00GHz,"7,060",1765
Intel Core i7-4770 @ 3.40GHz,"7,050",1766
Mediatek MT6895Z_B/TCZA,"7,044",1767
Intel Xeon E3-1245 v3 @ 3.40GHz,"7,043",1768
AMD Ryzen Embedded R2514,"7,040",1769
Intel Core i7-5850EQ @ 2.70GHz,"7,036",1770
Samsung s5e8845,"7,035",1771
Intel Xeon E3-1231 v3 @ 3.40GHz,"7,035",1772
Intel Xeon X5690 @ 3.47GHz,"7,032",1773
Intel Xeon W3680 @ 3.33GHz,"7,028",1774
Intel Core i7-6820EQ @ 2.80GHz,"7,025",1775
Intel Core i7-6820HK @ 2.70GHz,"7,023",1776
Intel Xeon E3-1240 v3 @ 3.40GHz,"7,020",1777
Intel Xeon E5-4640 @ 2.40GHz,"7,012",1778
AMD Ryzen 7 PRO 2700U,"7,011",1779
Intel Xeon E3-1505M v5 @ 2.80GHz,"7,009",1780
AMD Athlon Gold PRO 3150GE,"7,006",1781
Intel Core i7-6700T @ 2.80GHz,"7,003",1782
AMD Ryzen 3 3200G,"7,003",1783
Intel Core i7-4790S @ 3.20GHz,"6,992",1784
Intel Xeon E5-4607 v2 @ 2.60GHz,"6,986",1785
Intel Xeon E5-1620 v3 @ 3.50GHz,"6,969",1786
AMD Ryzen 7 3780U,"6,958",1787
Intel Xeon E3-1265L v4 @ 2.30GHz,"6,954",1788
Intel Core i5-8305G @ 2.80GHz,"6,951",1789
